Jensen et al. Temporal disease trajectories condensed from population-wide registry data covering 6.2 million patients,,,,,,,,,,,,,,,,
Supplementary Data 2 | Trajectory counting,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Median age at ,,,,,Count,time 1->2,,,Count,time ->3,,,Count,time ->4
Diabetes,E11_E10_H36_I44,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,H36,Retinal disorders in diseases classified elsewhere,4988,77.75,I44,Atrioventricular and left bundle-branch block,67,123.91
Diabetes,E11_E10_H36_I70,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,H36,Retinal disorders in diseases classified elsewhere,4988,77.75,I70,Atherosclerosis,334,115.09
Diabetes,E11_E10_H36_K65,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,H36,Retinal disorders in diseases classified elsewhere,4988,77.75,K65,Peritonitis,37,110.57
Diabetes,E11_E10_H36_L89,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,H36,Retinal disorders in diseases classified elsewhere,4988,77.75,L89,Decubitus ulcer,96,119.32
Diabetes,E11_E10_H36_L97,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,H36,Retinal disorders in diseases classified elsewhere,4988,77.75,L97,"Ulcer of lower limb, not elsewhere classified",280,115.05
Diabetes,E11_E10_H36_L98,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,H36,Retinal disorders in diseases classified elsewhere,4988,77.75,L98,"Other disorders of skin and subcutaneous tissue, not elsewhere classified",164,110.95
Diabetes,E11_E10_H36_M14,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,H36,Retinal disorders in diseases classified elsewhere,4988,77.75,M14,Arthropathies in other diseases classified elsewhere,52,115.66
Diabetes,E11_E10_H36_N08,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,H36,Retinal disorders in diseases classified elsewhere,4988,77.75,N08,Glomerular disorders in diseases classified elsewhere,57,116.96
Diabetes,E11_E10_H36_N17,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,H36,Retinal disorders in diseases classified elsewhere,4988,77.75,N17,Acute renal failure,90,112.43
Diabetes,E11_E10_H36_N18,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,H36,Retinal disorders in diseases classified elsewhere,4988,77.75,N18,Chronic renal failure,322,114.69
Diabetes,E11_E10_H36_N19,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,H36,Retinal disorders in diseases classified elsewhere,4988,77.75,N19,Unspecified renal failure,225,114.94
Diabetes,E11_E10_H36_N28,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,H36,Retinal disorders in diseases classified elsewhere,4988,77.75,N28,"Other disorders of kidney and ureter, not elsewhere classified",36,114.08
Diabetes,E11_E10_H36_N39,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,H36,Retinal disorders in diseases classified elsewhere,4988,77.75,N39,Other disorders of urinary system,273,120.01
Diabetes,E11_E10_H43_L97,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,H43,Disorders of vitreous body,677,81.1,L97,"Ulcer of lower limb, not elsewhere classified",64,118.92
Diabetes,E11_E10_H43_N18,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,H43,Disorders of vitreous body,677,81.1,N18,Chronic renal failure,87,118.7
Diabetes,E11_E10_H43_N19,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,H43,Disorders of vitreous body,677,81.1,N19,Unspecified renal failure,69,119.58
Diabetes,E11_E10_I15_A41,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,I15,Secondary hypertension,660,72.87,A41,Other septicaemia,76,98.36
Diabetes,E11_E10_L08_A41,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,L08,Other local infections of skin and subcutaneous tissue,667,79.68,A41,Other septicaemia,64,101.51
Diabetes,E11_E10_L08_L98,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,L08,Other local infections of skin and subcutaneous tissue,667,79.68,L98,"Other disorders of skin and subcutaneous tissue, not elsewhere classified",68,99.73
Diabetes,E11_E10_L97_A41,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,L97,"Ulcer of lower limb, not elsewhere classified",2562,74.67,A41,Other septicaemia,242,101.23
Diabetes,E11_E10_L97_N17,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,L97,"Ulcer of lower limb, not elsewhere classified",2562,74.67,N17,Acute renal failure,78,103.24
Diabetes,E11_E10_L98_A41,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,L98,"Other disorders of skin and subcutaneous tissue, not elsewhere classified",1508,76.9,A41,Other septicaemia,141,101.18
Diabetes,E11_E10_N18_A41,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,N18,Chronic renal failure,2635,75.41,A41,Other septicaemia,398,90.93
Diabetes,E11_E10_N18_A49,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,N18,Chronic renal failure,2635,75.41,A49,Bacterial infection of unspecified site,87,93.25
Diabetes,E11_E10_N18_K65,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,N18,Chronic renal failure,2635,75.41,K65,Peritonitis,103,94.94
Diabetes,E11_E10_N18_L98,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,N18,Chronic renal failure,2635,75.41,L98,"Other disorders of skin and subcutaneous tissue, not elsewhere classified",137,101.35
Diabetes,E11_E10_N18_N25,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,N18,Chronic renal failure,2635,75.41,N25,Disorders resulting from impaired renal tubular function,45,94.44
Diabetes,E11_E10_N19_K65,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,N19,Unspecified renal failure,1759,73.18,K65,Peritonitis,81,90.35
Diabetes,E11_E10_N19_L98,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,N19,Unspecified renal failure,1759,73.18,L98,"Other disorders of skin and subcutaneous tissue, not elsewhere classified",97,96.46
Diabetes,E11_E10_N39_L89,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,N39,Other disorders of urinary system,3007,76.25,L89,Decubitus ulcer,96,92.49
Diabetes,E11_E14_N18_A41,62.04,E11,Non-insulin-dependent diabetes mellitus,E14,Unspecified diabetes mellitus,23708,40.45,N18,Chronic renal failure,1474,76.58,A41,Other septicaemia,232,89.02
Diabetes,E11_E14_N18_A49,62.04,E11,Non-insulin-dependent diabetes mellitus,E14,Unspecified diabetes mellitus,23708,40.45,N18,Chronic renal failure,1474,76.58,A49,Bacterial infection of unspecified site,57,94.52
Diabetes,E11_E14_N18_K65,62.04,E11,Non-insulin-dependent diabetes mellitus,E14,Unspecified diabetes mellitus,23708,40.45,N18,Chronic renal failure,1474,76.58,K65,Peritonitis,47,93.62
Diabetes,E11_E14_N18_L98,62.04,E11,Non-insulin-dependent diabetes mellitus,E14,Unspecified diabetes mellitus,23708,40.45,N18,Chronic renal failure,1474,76.58,L98,"Other disorders of skin and subcutaneous tissue, not elsewhere classified",97,101.57
Diabetes,E11_E14_N19_L98,62.04,E11,Non-insulin-dependent diabetes mellitus,E14,Unspecified diabetes mellitus,23708,40.45,N19,Unspecified renal failure,1051,73.18,L98,"Other disorders of skin and subcutaneous tissue, not elsewhere classified",69,93.92
Diabetes,E11_E14_N39_L89,62.04,E11,Non-insulin-dependent diabetes mellitus,E14,Unspecified diabetes mellitus,23708,40.45,N39,Other disorders of urinary system,1667,76,L89,Decubitus ulcer,66,91.29
Diabetes,E11_E16_N18_A41,66.26,E11,Non-insulin-dependent diabetes mellitus,E16,Other disorders of pancreatic internal secretion,10711,48.76,N18,Chronic renal failure,734,75.27,A41,Other septicaemia,108,90.35
Diabetes,E11_H36_H43_L97,59.69,E11,Non-insulin-dependent diabetes mellitus,H36,Retinal disorders in diseases classified elsewhere,16160,51.25,H43,Disorders of vitreous body,1129,74.27,L97,"Ulcer of lower limb, not elsewhere classified",100,115.75
Diabetes,E11_H36_H43_N18,59.69,E11,Non-insulin-dependent diabetes mellitus,H36,Retinal disorders in diseases classified elsewhere,16160,51.25,H43,Disorders of vitreous body,1129,74.27,N18,Chronic renal failure,157,117.06
Diabetes,E11_H36_H43_N19,59.69,E11,Non-insulin-dependent diabetes mellitus,H36,Retinal disorders in diseases classified elsewhere,16160,51.25,H43,Disorders of vitreous body,1129,74.27,N19,Unspecified renal failure,98,118.18
Diabetes,E11_H36_I70_N18,59.69,E11,Non-insulin-dependent diabetes mellitus,H36,Retinal disorders in diseases classified elsewhere,16160,51.25,I70,Atherosclerosis,1127,91.81,N18,Chronic renal failure,136,119.8
Diabetes,E11_H36_N18_A41,59.69,E11,Non-insulin-dependent diabetes mellitus,H36,Retinal disorders in diseases classified elsewhere,16160,51.25,N18,Chronic renal failure,1072,96.87,A41,Other septicaemia,152,115.67
Diabetes,E11_H36_N18_A49,59.69,E11,Non-insulin-dependent diabetes mellitus,H36,Retinal disorders in diseases classified elsewhere,16160,51.25,N18,Chronic renal failure,1072,96.87,A49,Bacterial infection of unspecified site,39,116.37
Diabetes,E11_H36_N18_K65,59.69,E11,Non-insulin-dependent diabetes mellitus,H36,Retinal disorders in diseases classified elsewhere,16160,51.25,N18,Chronic renal failure,1072,96.87,K65,Peritonitis,46,118.57
Diabetes,E11_H36_N18_L98,59.69,E11,Non-insulin-dependent diabetes mellitus,H36,Retinal disorders in diseases classified elsewhere,16160,51.25,N18,Chronic renal failure,1072,96.87,L98,"Other disorders of skin and subcutaneous tissue, not elsewhere classified",77,124.73
Diabetes,E11_H43_N18_A41,61.92,E11,Non-insulin-dependent diabetes mellitus,H43,Disorders of vitreous body,2420,51.74,N18,Chronic renal failure,273,93.81,A41,Other septicaemia,50,111.66
Diabetes,E11_I35_N18_A41,71.44,E11,Non-insulin-dependent diabetes mellitus,I35,Nonrheumatic aortic valve disorders,4852,42.13,N18,Chronic renal failure,375,68.91,A41,Other septicaemia,46,83.09
Diabetes,E11_I70_L98_A41,68.86,E11,Non-insulin-dependent diabetes mellitus,I70,Atherosclerosis,13736,40.25,L98,"Other disorders of skin and subcutaneous tissue, not elsewhere classified",1039,64.86,A41,Other septicaemia,86,89.65
Diabetes,E11_I70_N18_A41,68.86,E11,Non-insulin-dependent diabetes mellitus,I70,Atherosclerosis,13736,40.25,N18,Chronic renal failure,1101,72.5,A41,Other septicaemia,148,85.33
Diabetes,E11_I70_N18_A49,68.86,E11,Non-insulin-dependent diabetes mellitus,I70,Atherosclerosis,13736,40.25,N18,Chronic renal failure,1101,72.5,A49,Bacterial infection of unspecified site,30,89.22
Diabetes,E11_I70_N18_L98,68.86,E11,Non-insulin-dependent diabetes mellitus,I70,Atherosclerosis,13736,40.25,N18,Chronic renal failure,1101,72.5,L98,"Other disorders of skin and subcutaneous tissue, not elsewhere classified",64,94.02
Diabetes,E11_I70_N19_L98,68.86,E11,Non-insulin-dependent diabetes mellitus,I70,Atherosclerosis,13736,40.25,N19,Unspecified renal failure,755,70.71,L98,"Other disorders of skin and subcutaneous tissue, not elsewhere classified",40,89.98
Diabetes,H36_H43_N18_A41,57.68,H36,Retinal disorders in diseases classified elsewhere,H43,Disorders of vitreous body,3127,29.87,N18,Chronic renal failure,409,78.52,A41,Other septicaemia,76,99.03
Diabetes,H36_I70_N18_A41,64.15,H36,Retinal disorders in diseases classified elsewhere,I70,Atherosclerosis,2626,48.76,N18,Chronic renal failure,310,80.54,A41,Other septicaemia,39,92.93
Diabetes,J45_E11_E10_A41,59.81,J45,Asthma,E11,Non-insulin-dependent diabetes mellitus,5401,47.58,E10,Insulin-dependent diabetes mellitus,923,81.02,A41,Other septicaemia,88,110.66
Diabetes,J45_E11_E10_E14,59.81,J45,Asthma,E11,Non-insulin-dependent diabetes mellitus,5401,47.58,E10,Insulin-dependent diabetes mellitus,923,81.02,E14,Unspecified diabetes mellitus,130,105.44
Diabetes,J45_E11_E10_E16,59.81,J45,Asthma,E11,Non-insulin-dependent diabetes mellitus,5401,47.58,E10,Insulin-dependent diabetes mellitus,923,81.02,E16,Other disorders of pancreatic internal secretion,54,106.35
Diabetes,J45_E11_E10_H36,59.81,J45,Asthma,E11,Non-insulin-dependent diabetes mellitus,5401,47.58,E10,Insulin-dependent diabetes mellitus,923,81.02,H36,Retinal disorders in diseases classified elsewhere,81,108.25
Diabetes,J45_E11_E10_L97,59.81,J45,Asthma,E11,Non-insulin-dependent diabetes mellitus,5401,47.58,E10,Insulin-dependent diabetes mellitus,923,81.02,L97,"Ulcer of lower limb, not elsewhere classified",41,116.55
Diabetes,J45_E11_E10_L98,59.81,J45,Asthma,E11,Non-insulin-dependent diabetes mellitus,5401,47.58,E10,Insulin-dependent diabetes mellitus,923,81.02,L98,"Other disorders of skin and subcutaneous tissue, not elsewhere classified",36,114.68
Diabetes,J45_E11_E10_N18,59.81,J45,Asthma,E11,Non-insulin-dependent diabetes mellitus,5401,47.58,E10,Insulin-dependent diabetes mellitus,923,81.02,N18,Chronic renal failure,43,119.42
Diabetes,J45_E11_E10_N19,59.81,J45,Asthma,E11,Non-insulin-dependent diabetes mellitus,5401,47.58,E10,Insulin-dependent diabetes mellitus,923,81.02,N19,Unspecified renal failure,33,103.36
Diabetes,J45_E11_E10_N39,59.81,J45,Asthma,E11,Non-insulin-dependent diabetes mellitus,5401,47.58,E10,Insulin-dependent diabetes mellitus,923,81.02,N39,Other disorders of urinary system,72,107.75
Diabetes,J45_E11_E14_A41,59.81,J45,Asthma,E11,Non-insulin-dependent diabetes mellitus,5401,47.58,E14,Unspecified diabetes mellitus,606,79.49,A41,Other septicaemia,46,99.99
Diabetes,J45_E11_E14_N18,59.81,J45,Asthma,E11,Non-insulin-dependent diabetes mellitus,5401,47.58,E14,Unspecified diabetes mellitus,606,79.49,N18,Chronic renal failure,27,106.56
None,C20_C18_C78_D63,67.6,C20,Malignant neoplasm of rectum,C18,Malignant neoplasm of colon,4332,16.56,C78,Secondary malignant neoplasm of respiratory and digestive organs,867,29.82,D63,Anaemia in chronic diseases classified elsewhere,53,45.21
None,C20_C18_C78_E86,67.6,C20,Malignant neoplasm of rectum,C18,Malignant neoplasm of colon,4332,16.56,C78,Secondary malignant neoplasm of respiratory and digestive organs,867,29.82,E86,Volume depletion,72,40.63
None,C85_C83_J18_J15,63.74,C85,Other and unspecified types of non-Hodgkin's lymphoma,C83,Diffuse non-Hodgkin's lymphoma,4387,10.35,J18,"Pneumonia, organism unspecified",746,33.15,J15,"Bacterial pneumonia, not elsewhere classified",55,48.3
None,C85_C83_J18_J96,63.74,C85,Other and unspecified types of non-Hodgkin's lymphoma,C83,Diffuse non-Hodgkin's lymphoma,4387,10.35,J18,"Pneumonia, organism unspecified",746,33.15,J96,"Respiratory failure, not elsewhere classified",56,42.01
None,D37_C20_C18_C78,69.91,D37,Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs,C20,Malignant neoplasm of rectum,776,7.49,C18,Malignant neoplasm of colon,133,26.53,C78,Secondary malignant neoplasm of respiratory and digestive organs,32,39.69
None,E10_E14_D64_A41,54.31,E10,Insulin-dependent diabetes mellitus,E14,Unspecified diabetes mellitus,16535,43.81,D64,Other anaemias,1146,81.21,A41,Other septicaemia,131,99.5
None,E10_E14_D64_D63,54.31,E10,Insulin-dependent diabetes mellitus,E14,Unspecified diabetes mellitus,16535,43.81,D64,Other anaemias,1146,81.21,D63,Anaemia in chronic diseases classified elsewhere,61,94.11
None,E10_E14_N18_I46,54.31,E10,Insulin-dependent diabetes mellitus,E14,Unspecified diabetes mellitus,16535,43.81,N18,Chronic renal failure,1127,81.8,I46,Cardiac arrest,52,102.01
None,E10_H36_H28_H26,52.22,E10,Insulin-dependent diabetes mellitus,H36,Retinal disorders in diseases classified elsewhere,15736,51.73,H28,Cataract and other disorders of lens in diseases classified elsewhere,357,79.49,H26,Other cataract,89,107.31
None,E10_H36_H33_H26,52.22,E10,Insulin-dependent diabetes mellitus,H36,Retinal disorders in diseases classified elsewhere,15736,51.73,H33,Retinal detachments and breaks,504,75.45,H26,Other cataract,122,98.31
None,E10_H36_I50_N18,52.22,E10,Insulin-dependent diabetes mellitus,H36,Retinal disorders in diseases classified elsewhere,15736,51.73,I50,Heart failure,1084,94.28,N18,Chronic renal failure,142,116.68
None,E10_I73_N18_A41,63.52,E10,Insulin-dependent diabetes mellitus,I73,Other peripheral vascular diseases,4048,54.87,N18,Chronic renal failure,319,80.53,A41,Other septicaemia,50,95.61
None,E11_A46_L97_A41,64.9,E11,Non-insulin-dependent diabetes mellitus,A46,Erysipelas,5769,43.11,L97,"Ulcer of lower limb, not elsewhere classified",692,64.09,A41,Other septicaemia,75,87.52
None,E11_A46_N18_A41,64.9,E11,Non-insulin-dependent diabetes mellitus,A46,Erysipelas,5769,43.11,N18,Chronic renal failure,392,77.21,A41,Other septicaemia,62,91.22
None,E11_E10_A09_F03,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,A09,Diarrhoea and gastroenteritis of presumed infectious origin,1212,77.8,F03,Unspecified dementia,36,98.96
None,E11_E10_A09_K59,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,A09,Diarrhoea and gastroenteritis of presumed infectious origin,1212,77.8,K59,Other functional intestinal disorders,94,92.85
None,E11_E10_A09_N39,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,A09,Diarrhoea and gastroenteritis of presumed infectious origin,1212,77.8,N39,Other disorders of urinary system,123,99.83
None,E11_E10_D50_A41,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,D50,Iron deficiency anaemia,904,76.82,A41,Other septicaemia,74,98.43
None,E11_E10_D50_D63,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,D50,Iron deficiency anaemia,904,76.82,D63,Anaemia in chronic diseases classified elsewhere,50,91.36
None,E11_E10_D50_E86,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,D50,Iron deficiency anaemia,904,76.82,E86,Volume depletion,85,94.38
None,E11_E10_D50_N18,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,D50,Iron deficiency anaemia,904,76.82,N18,Chronic renal failure,91,103.04
None,E11_E10_D50_N19,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,D50,Iron deficiency anaemia,904,76.82,N19,Unspecified renal failure,54,102.75
None,E11_E10_D64_A41,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,D64,Other anaemias,3213,73.83,A41,Other septicaemia,341,92.25
None,E11_E10_D64_D63,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,D64,Other anaemias,3213,73.83,D63,Anaemia in chronic diseases classified elsewhere,178,86.96
None,E11_E10_D64_I46,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,D64,Other anaemias,3213,73.83,I46,Cardiac arrest,84,97.41
None,E11_E10_E14_A04,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,E14,Unspecified diabetes mellitus,5708,74.45,A04,Other bacterial intestinal infections,49,98.43
None,E11_E10_E14_D64,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,E14,Unspecified diabetes mellitus,5708,74.45,D64,Other anaemias,458,101.87
None,E11_E10_E14_E86,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,E14,Unspecified diabetes mellitus,5708,74.45,E86,Volume depletion,416,102.29
None,E11_E10_E14_E87,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,E14,Unspecified diabetes mellitus,5708,74.45,E87,"Other disorders of fluid, electrolyte and acid-base balance",280,102.3
None,E11_E10_E14_F03,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,E14,Unspecified diabetes mellitus,5708,74.45,F03,Unspecified dementia,190,100.78
None,E11_E10_E14_I46,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,E14,Unspecified diabetes mellitus,5708,74.45,I46,Cardiac arrest,129,103.92
None,E11_E10_E14_J15,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,E14,Unspecified diabetes mellitus,5708,74.45,J15,"Bacterial pneumonia, not elsewhere classified",246,105.19
None,E11_E10_E14_J96,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,E14,Unspecified diabetes mellitus,5708,74.45,J96,"Respiratory failure, not elsewhere classified",305,96.83
None,E11_E10_E16_E86,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,E16,Other disorders of pancreatic internal secretion,3470,76.78,E86,Volume depletion,350,100.7
None,E11_E10_E16_F03,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,E16,Other disorders of pancreatic internal secretion,3470,76.78,F03,Unspecified dementia,180,103.37
None,E11_E10_E16_I46,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,E16,Other disorders of pancreatic internal secretion,3470,76.78,I46,Cardiac arrest,66,104.46
None,E11_E10_E16_J15,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,E16,Other disorders of pancreatic internal secretion,3470,76.78,J15,"Bacterial pneumonia, not elsewhere classified",147,103.52
None,E11_E10_F32_A41,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,F32,Depressive episode,1125,71.84,A41,Other septicaemia,112,89.76
None,E11_E10_F32_F33,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,F32,Depressive episode,1125,71.84,F33,Recurrent depressive disorder,52,85.78
None,E11_E10_F32_J15,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,F32,Depressive episode,1125,71.84,J15,"Bacterial pneumonia, not elsewhere classified",50,100.05
None,E11_E10_F32_J96,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,F32,Depressive episode,1125,71.84,J96,"Respiratory failure, not elsewhere classified",58,95.26
None,E11_E10_G56_E66,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,G56,Mononeuropathies of upper limb,1006,80.61,E66,Obesity,73,116.03
None,E11_E10_G56_M19,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,G56,Mononeuropathies of upper limb,1006,80.61,M19,Other arthrosis,43,108.25
None,E11_E10_G62_A41,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,G62,Other polyneuropathies,562,78.81,A41,Other septicaemia,54,104.17
None,E11_E10_G62_D64,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,G62,Other polyneuropathies,562,78.81,D64,Other anaemias,40,103.07
None,E11_E10_G62_J18,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,G62,Other polyneuropathies,562,78.81,J18,"Pneumonia, organism unspecified",51,102.59
None,E11_E10_G62_N30,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,G62,Other polyneuropathies,562,78.81,N30,Cystitis,41,111.09
None,E11_E10_H25_E16,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,H25,Senile cataract,3928,80.87,E16,Other disorders of pancreatic internal secretion,329,116.57
None,E11_E10_H25_H26,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,H25,Senile cataract,3928,80.87,H26,Other cataract,527,98.68
None,E11_E10_H25_H54,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,H25,Senile cataract,3928,80.87,H54,Blindness and low vision,42,106.97
None,E11_E10_H33_H26,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,H33,Retinal detachments and breaks,313,79.16,H26,Other cataract,47,94.47
None,E11_E10_H36_D50,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,H36,Retinal disorders in diseases classified elsewhere,4988,77.75,D50,Iron deficiency anaemia,87,116.58
None,E11_E10_H36_D62,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,H36,Retinal disorders in diseases classified elsewhere,4988,77.75,D62,Acute posthaemorrhagic anaemia,61,121.63
None,E11_E10_H36_D64,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,H36,Retinal disorders in diseases classified elsewhere,4988,77.75,D64,Other anaemias,334,112.88
None,E11_E10_H36_E78,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,H36,Retinal disorders in diseases classified elsewhere,4988,77.75,E78,Disorders of lipoprotein metabolism and other lipidaemias,443,112.64
None,E11_E10_H36_E86,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,H36,Retinal disorders in diseases classified elsewhere,4988,77.75,E86,Volume depletion,253,118.95
None,E11_E10_H36_E87,61.63,E11,Non-insulin-dependent diabetes mellitus,E10,Insulin-dependent diabetes mellitus,40614,40.17,H36,Retinal disorders in diseases classified elsewhere,4988,77.75,E87,"Other disorders of fluid, electrolyte and acid-base balance",171,117.86
